city,city_ascii,state_abbr,state_name,county_name,country_name
Aurora,Aurora,CO,Colorado,Arapahoe,USA
Scranton,Scranton,PA,Pennsylvania,Lackawanna,USA
Oxnard,Oxnard,CA,California,Ventura,USA
Indio,Indio,CA,California,Riverside,USA
Victorville,Victorville,CA,California,San Bernardino,USA
Trenton,Trenton,NJ,New Jersey,Mercer,USA
Huntsville,Huntsville,AL,Alabama,Madison,USA
Modesto,Modesto,CA,California,Stanislaus,USA
Honolulu,Honolulu,HI,Hawaii,Honolulu,USA
Greensboro,Greensboro,NC,North Carolina,Guilford,USA
Fort Wayne,Fort Wayne,IN,Indiana,Allen,USA
Anaheim,Anaheim,CA,California,Orange,USA
Corpus Christi,Corpus Christi,TX,Texas,Nueces,USA
Fort Collins,Fort Collins,CO,Colorado,Larimer,USA
Antioch,Antioch,CA,California,Contra Costa,USA
Jackson,Jackson,MS,Mississippi,Hinds,USA
Fayetteville,Fayetteville,NC,North Carolina,Cumberland,USA
Myrtle Beach,Myrtle Beach,SC,South Carolina,Horry,USA
Henderson,Henderson,NV,Nevada,Clark,USA
Mobile,Mobile,AL,Alabama,Mobile,USA
Lexington,Lexington,KY,Kentucky,Fayette,USA
Lansing,Lansing,MI,Michigan,Ingham,USA
Savannah,Savannah,GA,Georgia,Chatham,USA
Youngstown,Youngstown,OH,Ohio,Mahoning,USA
Ann Arbor,Ann Arbor,MI,Michigan,Washtenaw,USA
Santa Ana,Santa Ana,CA,California,Orange,USA
Irvine,Irvine,CA,California,Orange,USA
St. Paul,St. Paul,MN,Minnesota,Ramsey,USA
Poughkeepsie,Poughkeepsie,NY,New York,Dutchess,USA
Newark,Newark,NJ,New Jersey,Essex,USA
Santa Rosa,Santa Rosa,CA,California,Sonoma,USA
Concord,Concord,NC,North Carolina,Cabarrus,USA
Winter Haven,Winter Haven,FL,Florida,Polk,USA
Asheville,Asheville,NC,North Carolina,Buncombe,USA
Canton,Canton,OH,Ohio,Stark,USA
Lincoln,Lincoln,NE,Nebraska,Lancaster,USA
Flint,Flint,MI,Michigan,Genesee,USA
Lakeland,Lakeland,FL,Florida,Polk,USA
Jersey City,Jersey City,NJ,New Jersey,Hudson,USA
Anchorage,Anchorage,AK,Alaska,Anchorage,USA
Springfield,Springfield,MO,Missouri,Greene,USA
Plano,Plano,TX,Texas,Collin,USA
Lubbock,Lubbock,TX,Texas,Lubbock,USA
Davenport,Davenport,IA,Iowa,Scott,USA
Reading,Reading,PA,Pennsylvania,Berks,USA
Shreveport,Shreveport,LA,Louisiana,Caddo,USA
Chandler,Chandler,AZ,Arizona,Maricopa,USA
South Bend,South Bend,IN,Indiana,St. Joseph,USA
Wilmington,Wilmington,NC,North Carolina,New Hanover,USA
Chula Vista,Chula Vista,CA,California,San Diego,USA
Rockford,Rockford,IL,Illinois,Winnebago,USA
Eugene,Eugene,OR,Oregon,Lane,USA
Salem,Salem,OR,Oregon,Marion,USA
Gilbert,Gilbert,AZ,Arizona,Maricopa,USA
North Las Vegas,North Las Vegas,NV,Nevada,Clark,USA
Santa Clarita,Santa Clarita,CA,California,Los Angeles,USA
Peoria,Peoria,IL,Illinois,Peoria,USA
Tallahassee,Tallahassee,FL,Florida,Leon,USA
Killeen,Killeen,TX,Texas,Bell,USA
St. Petersburg,St. Petersburg,FL,Florida,Pinellas,USA
Kennewick,Kennewick,WA,Washington,Benton,USA
Columbus,Columbus,GA,Georgia,Muscogee,USA
Laredo,Laredo,TX,Texas,Webb,USA
Irving,Irving,TX,Texas,Dallas,USA
Round Lake Beach,Round Lake Beach,IL,Illinois,Lake,USA
Montgomery,Montgomery,AL,Alabama,Montgomery,USA
Chesapeake,Chesapeake,VA,Virginia,Chesapeake,USA
Glendale,Glendale,AZ,Arizona,Maricopa,USA
Nashua,Nashua,NH,New Hampshire,Hillsborough,USA
York,York,PA,Pennsylvania,York,USA
Garland,Garland,TX,Texas,Dallas,USA
Rock Hill,Rock Hill,SC,South Carolina,York,USA
Scottsdale,Scottsdale,AZ,Arizona,Maricopa,USA
Aguadilla,Aguadilla,PR,Puerto Rico,Aguadilla,USA
Arlington,Arlington,VA,Virginia,Arlington,USA
Norfolk,Norfolk,VA,Virginia,Norfolk,USA
Appleton,Appleton,WI,Wisconsin,Outagamie,USA
Enterprise,Enterprise,NV,Nevada,Clark,USA
Gulfport,Gulfport,MS,Mississippi,Harrison,USA
Lafayette,Lafayette,LA,Louisiana,Lafayette,USA
Bremerton,Bremerton,WA,Washington,Kitsap,USA
Fremont,Fremont,CA,California,Alameda,USA
Green Bay,Green Bay,WI,Wisconsin,Brown,USA
Fargo,Fargo,ND,North Dakota,Cass,USA
Deltona,Deltona,FL,Florida,Volusia,USA
Brownsville,Brownsville,TX,Texas,Cameron,USA
Hialeah,Hialeah,FL,Florida,Miami-Dade,USA
San Bernardino,San Bernardino,CA,California,San Bernardino,USA
Tacoma,Tacoma,WA,Washington,Pierce,USA
Gainesville,Gainesville,FL,Florida,Alachua,USA
Spring Valley,Spring Valley,NV,Nevada,Clark,USA
Clarksville,Clarksville,TN,Tennessee,Montgomery,USA
College Station,College Station,TX,Texas,Brazos,USA
Olympia,Olympia,WA,Washington,Thurston,USA
Roanoke,Roanoke,VA,Virginia,Roanoke,USA
Portland,Portland,ME,Maine,Cumberland,USA
Fontana,Fontana,CA,California,San Bernardino,USA
Spartanburg,Spartanburg,SC,South Carolina,Spartanburg,USA
Moreno Valley,Moreno Valley,CA,California,Riverside,USA
Frisco,Frisco,TX,Texas,Collin,USA
Yonkers,Yonkers,NY,New York,Westchester,USA
Thousand Oaks,Thousand Oaks,CA,California,Ventura,USA
Sioux Falls,Sioux Falls,SD,South Dakota,Minnehaha,USA
Hagerstown,Hagerstown,MD,Maryland,Washington,USA
Evansville,Evansville,IN,Indiana,Vanderburgh,USA
Amarillo,Amarillo,TX,Texas,Potter,USA
Kalamazoo,Kalamazoo,MI,Michigan,Kalamazoo,USA
Lorain,Lorain,OH,Ohio,Lorain,USA
Galveston,Galveston,TX,Texas,Galveston,USA
McKinney,McKinney,TX,Texas,Collin,USA
Huntington,Huntington,WV,West Virginia,Cabell,USA
Nampa,Nampa,ID,Idaho,Canyon,USA
Hickory,Hickory,NC,North Carolina,Catawba,USA
Waterbury,Waterbury,CT,Connecticut,Naugatuck Valley,USA
Sunrise Manor,Sunrise Manor,NV,Nevada,Clark,USA
Grand Prairie,Grand Prairie,TX,Texas,Dallas,USA
Ocala,Ocala,FL,Florida,Marion,USA
Waco,Waco,TX,Texas,McLennan,USA
Overland Park,Overland Park,KS,Kansas,Johnson,USA
Frederick,Frederick,MD,Maryland,Frederick,USA
Huntington Beach,Huntington Beach,CA,California,Orange,USA
Santa Barbara,Santa Barbara,CA,California,Santa Barbara,USA
Peoria,Peoria,AZ,Arizona,Maricopa,USA
Cedar Rapids,Cedar Rapids,IA,Iowa,Linn,USA
Vancouver,Vancouver,WA,Washington,Clark,USA
Glendale,Glendale,CA,California,Los Angeles,USA
Gastonia,Gastonia,NC,North Carolina,Gaston,USA
Spring Hill,Spring Hill,FL,Florida,Hernando,USA
Murfreesboro,Murfreesboro,TN,Tennessee,Rutherford,USA
Tempe,Tempe,AZ,Arizona,Maricopa,USA
Paradise,Paradise,NV,Nevada,Clark,USA
Newport News,Newport News,VA,Virginia,Newport News,USA
Erie,Erie,PA,Pennsylvania,Erie,USA
Fort Lauderdale,Fort Lauderdale,FL,Florida,Broward,USA
Gainesville,Gainesville,GA,Georgia,Hall,USA
Aurora,Aurora,IL,Illinois,Kane,USA
Mauldin,Mauldin,SC,South Carolina,Greenville,USA
Ontario,Ontario,CA,California,San Bernardino,USA
Elk Grove,Elk Grove,CA,California,Sacramento,USA
Panama City,Panama City,FL,Florida,Bay,USA
Cary,Cary,NC,North Carolina,Wake,USA
Hemet,Hemet,CA,California,Riverside,USA
Danbury,Danbury,CT,Connecticut,Western Connecticut,USA
Rancho Cucamonga,Rancho Cucamonga,CA,California,San Bernardino,USA
Salinas,Salinas,CA,California,Monterey,USA
Oceanside,Oceanside,CA,California,San Diego,USA
Vallejo,Vallejo,CA,California,Solano,USA
High Point,High Point,NC,North Carolina,Guilford,USA
Garden Grove,Garden Grove,CA,California,Orange,USA
Pembroke Pines,Pembroke Pines,FL,Florida,Broward,USA
Lancaster,Lancaster,CA,California,Los Angeles,USA
Marysville,Marysville,WA,Washington,Snohomish,USA
Bayamón,Bayamon,PR,Puerto Rico,Bayamón,USA
Fredericksburg,Fredericksburg,VA,Virginia,Fredericksburg,USA
Visalia,Visalia,CA,California,Tulare,USA
Tuscaloosa,Tuscaloosa,AL,Alabama,Tuscaloosa,USA
Palmdale,Palmdale,CA,California,Los Angeles,USA
Santa Cruz,Santa Cruz,CA,California,Santa Cruz,USA
Medford,Medford,OR,Oregon,Jackson,USA
Norwich,Norwich,CT,Connecticut,Southeastern Connecticut,USA
Merced,Merced,CA,California,Merced,USA
Manchester,Manchester,NH,New Hampshire,Hillsborough,USA
Odessa,Odessa,TX,Texas,Ector,USA
Muskegon,Muskegon,MI,Michigan,Muskegon,USA
Leesburg,Leesburg,FL,Florida,Lake,USA
Lafayette,Lafayette,IN,Indiana,Tippecanoe,USA
Hayward,Hayward,CA,California,Alameda,USA
Corona,Corona,CA,California,Riverside,USA
Paterson,Paterson,NJ,New Jersey,Passaic,USA
Alexandria,Alexandria,VA,Virginia,Alexandria,USA
Macon,Macon,GA,Georgia,Bibb,USA
Lakewood,Lakewood,CO,Colorado,Jefferson,USA
Springfield,Springfield,IL,Illinois,Sangamon,USA
Kansas City,Kansas City,KS,Kansas,Wyandotte,USA
Burlington,Burlington,NC,North Carolina,Alamance,USA
Warner Robins,Warner Robins,GA,Georgia,Houston,USA
Sunnyvale,Sunnyvale,CA,California,Santa Clara,USA
Hollywood,Hollywood,FL,Florida,Broward,USA
Roseville,Roseville,CA,California,Placer,USA
New Bedford,New Bedford,MA,Massachusetts,Bristol,USA
South Lyon,South Lyon,MI,Michigan,Oakland,USA
Bellevue,Bellevue,WA,Washington,King,USA
Fairfield,Fairfield,CA,California,Solano,USA
Binghamton,Binghamton,NY,New York,Broome,USA
Topeka,Topeka,KS,Kansas,Shawnee,USA
Escondido,Escondido,CA,California,San Diego,USA
Joliet,Joliet,IL,Illinois,Will,USA
Surprise,Surprise,AZ,Arizona,Maricopa,USA
Naperville,Naperville,IL,Illinois,DuPage,USA
Pasadena,Pasadena,TX,Texas,Harris,USA
Mesquite,Mesquite,TX,Texas,Dallas,USA
Champaign,Champaign,IL,Illinois,Champaign,USA
Pomona,Pomona,CA,California,Los Angeles,USA
Houma,Houma,LA,Louisiana,Terrebonne,USA
Athens,Athens,GA,Georgia,Clarke,USA
St. George,St. George,UT,Utah,Washington,USA
Beaumont,Beaumont,TX,Texas,Jefferson,USA
Elkhart,Elkhart,IN,Indiana,Elkhart,USA
Lake Charles,Lake Charles,LA,Louisiana,Calcasieu,USA
Santa Maria,Santa Maria,CA,California,Santa Barbara,USA
Yuma,Yuma,AZ,Arizona,Yuma,USA
Olathe,Olathe,KS,Kansas,Johnson,USA
Midland,Midland,TX,Texas,Midland,USA
Greeley,Greeley,CO,Colorado,Weld,USA
Torrance,Torrance,CA,California,Los Angeles,USA
Thornton,Thornton,CO,Colorado,Adams,USA
Las Cruces,Las Cruces,NM,New Mexico,Doña Ana,USA
Columbia,Columbia,MO,Missouri,Boone,USA
Fullerton,Fullerton,CA,California,Orange,USA
Grand Junction,Grand Junction,CO,Colorado,Mesa,USA
Carolina,Carolina,PR,Puerto Rico,Carolina,USA
Metairie,Metairie,LA,Louisiana,Jefferson,USA
Orange,Orange,CA,California,Orange,USA
Warren,Warren,MI,Michigan,Macomb,USA
West Valley City,West Valley City,UT,Utah,Salt Lake,USA
Hampton,Hampton,VA,Virginia,Hampton,USA
Pasadena,Pasadena,CA,California,Los Angeles,USA
Miramar,Miramar,FL,Florida,Broward,USA
Elizabeth,Elizabeth,NJ,New Jersey,Union,USA
Stamford,Stamford,CT,Connecticut,Western Connecticut,USA
Racine,Racine,WI,Wisconsin,Racine,USA
Kent,Kent,WA,Washington,King,USA
Yakima,Yakima,WA,Washington,Yakima,USA
Coral Springs,Coral Springs,FL,Florida,Broward,USA
Sterling Heights,Sterling Heights,MI,Michigan,Macomb,USA
Billings,Billings,MT,Montana,Yellowstone,USA
Bloomington,Bloomington,IL,Illinois,McLean,USA
Charleston,Charleston,WV,West Virginia,Kanawha,USA
Carrollton,Carrollton,TX,Texas,Dallas,USA
Tyler,Tyler,TX,Texas,Smith,USA
Iowa City,Iowa City,IA,Iowa,Johnson,USA
Johnson City,Johnson City,TN,Tennessee,Washington,USA
Santa Clara,Santa Clara,CA,California,Santa Clara,USA
Bellingham,Bellingham,WA,Washington,Whatcom,USA
Norman,Norman,OK,Oklahoma,Cleveland,USA
Coeur d'Alene,Coeur d'Alene,ID,Idaho,Kootenai,USA
Fort Smith,Fort Smith,AR,Arkansas,Sebastian,USA
Lewisville,Lewisville,TX,Texas,Denton,USA
Dover,Dover,DE,Delaware,Kent,USA
Yuba City,Yuba City,CA,California,Sutter,USA
Lehigh Acres,Lehigh Acres,FL,Florida,Lee,USA
Abilene,Abilene,TX,Texas,Taylor,USA
Simi Valley,Simi Valley,CA,California,Ventura,USA
Pearland,Pearland,TX,Texas,Brazoria,USA
Kenosha,Kenosha,WI,Wisconsin,Kenosha,USA
Arecibo,Arecibo,PR,Puerto Rico,Arecibo,USA
Meridian,Meridian,ID,Idaho,Ada,USA
Round Rock,Round Rock,TX,Texas,Williamson,USA
Waldorf,Waldorf,MD,Maryland,Charles,USA
Temple,Temple,TX,Texas,Bell,USA
Lynchburg,Lynchburg,VA,Virginia,Lynchburg,USA
Rochester,Rochester,MN,Minnesota,Olmsted,USA
Logan,Logan,UT,Utah,Cache,USA
Arvada,Arvada,CO,Colorado,Jefferson,USA
Clovis,Clovis,CA,California,Fresno,USA
Independence,Independence,MO,Missouri,Jackson,USA
Redding,Redding,CA,California,Shasta,USA
Greenville,Greenville,NC,North Carolina,Pitt,USA
Duluth,Duluth,MN,Minnesota,St. Louis,USA
Berkeley,Berkeley,CA,California,Alameda,USA
Boulder,Boulder,CO,Colorado,Boulder,USA
Pueblo,Pueblo,CO,Colorado,Pueblo,USA
West Palm Beach,West Palm Beach,FL,Florida,Palm Beach,USA
Burlington,Burlington,VT,Vermont,Chittenden,USA
Seaside,Seaside,CA,California,Monterey,USA
Richardson,Richardson,TX,Texas,Dallas,USA
Cambridge,Cambridge,MA,Massachusetts,Middlesex,USA
Monroe,Monroe,LA,Louisiana,Ouachita,USA
North Charleston,North Charleston,SC,South Carolina,Charleston,USA
Saginaw,Saginaw,MI,Michigan,Saginaw,USA
Clearwater,Clearwater,FL,Florida,Pinellas,USA
The Woodlands,The Woodlands,TX,Texas,Montgomery,USA
Brandon,Brandon,FL,Florida,Hillsborough,USA
St. Cloud,St. Cloud,MN,Minnesota,Stearns,USA
West Jordan,West Jordan,UT,Utah,Salt Lake,USA
Broken Arrow,Broken Arrow,OK,Oklahoma,Tulsa,USA
Harlingen,Harlingen,TX,Texas,Cameron,USA
Kailua,Kailua,HI,Hawaii,Honolulu,USA
Westminster,Westminster,CO,Colorado,Adams,USA
Gilroy,Gilroy,CA,California,Santa Clara,USA
Richmond,Richmond,CA,California,Contra Costa,USA
Mandeville,Mandeville,LA,Louisiana,St. Tammany,USA
Utica,Utica,NY,New York,Oneida,USA
Ponce,Ponce,PR,Puerto Rico,Ponce,USA
League City,League City,TX,Texas,Galveston,USA
Port Arthur,Port Arthur,TX,Texas,Jefferson,USA
Lowell,Lowell,MA,Massachusetts,Middlesex,USA
East Los Angeles,East Los Angeles,CA,California,Los Angeles,USA
Carlsbad,Carlsbad,CA,California,San Diego,USA
Elgin,Elgin,IL,Illinois,Kane,USA
Waterloo,Waterloo,IA,Iowa,Black Hawk,USA
Leominster,Leominster,MA,Massachusetts,Worcester,USA
Bend,Bend,OR,Oregon,Deschutes,USA
Sioux City,Sioux City,IA,Iowa,Woodbury,USA
Gresham,Gresham,OR,Oregon,Multnomah,USA
Longview,Longview,TX,Texas,Gregg,USA
Pompano Beach,Pompano Beach,FL,Florida,Broward,USA
Downey,Downey,CA,California,Los Angeles,USA
Murrieta,Murrieta,CA,California,Riverside,USA
Idaho Falls,Idaho Falls,ID,Idaho,Bonneville,USA
Miami Gardens,Miami Gardens,FL,Florida,Miami-Dade,USA
Everett,Everett,WA,Washington,Snohomish,USA
Holland,Holland,MI,Michigan,Ottawa,USA
Costa Mesa,Costa Mesa,CA,California,Orange,USA
Temecula,Temecula,CA,California,Riverside,USA
Jacksonville,Jacksonville,NC,North Carolina,Onslow,USA
San Buenaventura,San Buenaventura,CA,California,Ventura,USA
Sugar Land,Sugar Land,TX,Texas,Fort Bend,USA
Chico,Chico,CA,California,Butte,USA
South Fulton,South Fulton,GA,Georgia,Fulton,USA
Sparks,Sparks,NV,Nevada,Washoe,USA
Eau Claire,Eau Claire,WI,Wisconsin,Eau Claire,USA
Auburn,Auburn,AL,Alabama,Lee,USA
Dearborn,Dearborn,MI,Michigan,Wayne,USA
Riverview,Riverview,FL,Florida,Hillsborough,USA
Allen,Allen,TX,Texas,Collin,USA
West Covina,West Covina,CA,California,Los Angeles,USA
Centennial,Centennial,CO,Colorado,Arapahoe,USA
Bloomington,Bloomington,IN,Indiana,Monroe,USA
Sandy Springs,Sandy Springs,GA,Georgia,Fulton,USA
El Monte,El Monte,CA,California,Los Angeles,USA
Hillsboro,Hillsboro,OR,Oregon,Washington,USA
Menifee,Menifee,CA,California,Riverside,USA
Rio Rancho,Rio Rancho,NM,New Mexico,Sandoval,USA
Davie,Davie,FL,Florida,Broward,USA
Jurupa Valley,Jurupa Valley,CA,California,Riverside,USA
Columbia,Columbia,MD,Maryland,Howard,USA
Inglewood,Inglewood,CA,California,Los Angeles,USA
Spokane Valley,Spokane Valley,WA,Washington,Spokane,USA
Renton,Renton,WA,Washington,King,USA
San Tan Valley,San Tan Valley,AZ,Arizona,Pinal,USA
Burbank,Burbank,CA,California,Los Angeles,USA
Brockton,Brockton,MA,Massachusetts,Plymouth,USA
El Cajon,El Cajon,CA,California,San Diego,USA
Rialto,Rialto,CA,California,San Bernardino,USA
San Mateo,San Mateo,CA,California,San Mateo,USA
Goodyear,Goodyear,AZ,Arizona,Maricopa,USA
Charlottesville,Charlottesville,VA,Virginia,Charlottesville,USA
Lafayette,Lafayette,CO,Colorado,Boulder,USA
Lee's Summit,Lee's Summit,MO,Missouri,Jackson,USA
Edinburg,Edinburg,TX,Texas,Hidalgo,USA
Daly City,Daly City,CA,California,San Mateo,USA
Wichita Falls,Wichita Falls,TX,Texas,Wichita,USA
Bowling Green,Bowling Green,KY,Kentucky,Warren,USA
Longmont,Longmont,CO,Colorado,Boulder,USA
Vacaville,Vacaville,CA,California,Solano,USA
Highlands Ranch,Highlands Ranch,CO,Colorado,Douglas,USA
Quincy,Quincy,MA,Massachusetts,Norfolk,USA
Fishers,Fishers,IN,Indiana,Hamilton,USA
Lynn,Lynn,MA,Massachusetts,Essex,USA
Norwalk,Norwalk,CA,California,Los Angeles,USA
Carmel,Carmel,IN,Indiana,Hamilton,USA
Hesperia,Hesperia,CA,California,San Bernardino,USA
St. Augustine,St. Augustine,FL,Florida,St. Johns,USA
Buckeye,Buckeye,AZ,Arizona,Maricopa,USA
San Angelo,San Angelo,TX,Texas,Tom Green,USA
Federal Way,Federal Way,WA,Washington,King,USA
Bismarck,Bismarck,ND,North Dakota,Burleigh,USA
Boca Raton,Boca Raton,FL,Florida,Palm Beach,USA
New Braunfels,New Braunfels,TX,Texas,Comal,USA
Vista,Vista,CA,California,San Diego,USA
Beaverton,Beaverton,OR,Oregon,Washington,USA
Portsmouth,Portsmouth,VA,Virginia,Portsmouth,USA
Orem,Orem,UT,Utah,Utah,USA
Conroe,Conroe,TX,Texas,Montgomery,USA
Suffolk,Suffolk,VA,Virginia,Suffolk,USA
Sunrise,Sunrise,FL,Florida,Broward,USA
Lawrence,Lawrence,KS,Kansas,Douglas,USA
Arden-Arcade,Arden-Arcade,CA,California,Sacramento,USA
Prescott Valley,Prescott Valley,AZ,Arizona,Yavapai,USA
Middletown,Middletown,OH,Ohio,Butler,USA
San Germán,San German,PR,Puerto Rico,San Germán,USA
Edmond,Edmond,OK,Oklahoma,Oklahoma,USA
Tracy,Tracy,CA,California,San Joaquin,USA
Manteca,Manteca,CA,California,San Joaquin,USA
Kingsport,Kingsport,TN,Tennessee,Sullivan,USA
Portsmouth,Portsmouth,NH,New Hampshire,Rockingham,USA
Sandy,Sandy,UT,Utah,Salt Lake,USA
Palm Coast,Palm Coast,FL,Florida,Flagler,USA
Slidell,Slidell,LA,Louisiana,St. Tammany,USA
San Marcos,San Marcos,CA,California,San Diego,USA
Livonia,Livonia,MI,Michigan,Wayne,USA
Santa Fe,Santa Fe,NM,New Mexico,Santa Fe,USA
Plantation,Plantation,FL,Florida,Broward,USA
Atascocita,Atascocita,TX,Texas,Harris,USA
Fall River,Fall River,MA,Massachusetts,Bristol,USA
Compton,Compton,CA,California,Los Angeles,USA
Carson,Carson,CA,California,Los Angeles,USA
La Crosse,La Crosse,WI,Wisconsin,La Crosse,USA
Missoula,Missoula,MT,Montana,Missoula,USA
O'Fallon,O'Fallon,MO,Missouri,St. Charles,USA
Mount Pleasant,Mount Pleasant,SC,South Carolina,Charleston,USA
